Timestamp;Relative_Time;PT-F03_raw (mV);PT-F03_processed (atm);HPL4_raw
2025-05-20 08:09:41.619;12.421;0.86825;-0.45;-18758
2025-05-20 08:09:41.619;12.421;0.86825;-0.45;-18758
2025-05-20 08:09:41.620;12.422;0.86825;-0.45;-18758
2025-05-20 08:09:41.726;12.528;0.86825;-0.45;-18758
2025-05-20 08:09:41.726;12.528;0.86825;-0.45;-18758
2025-05-20 08:09:41.727;12.529;0.86825;-0.45;-18758
2025-05-20 08:09:41.727;12.529;0.86825;-0.45;-18758
2025-05-20 08:09:41.833;12.635;0.86825;-0.45;-18758
2025-05-20 08:09:41.834;12.636;0.86825;-0.45;-18674
2025-05-20 08:09:41.834;12.636;0.86825;-0.45;-18674
2025-05-20 08:09:41.835;12.637;0.86825;-0.45;-18674
2025-05-20 08:09:41.942;12.744;0.86825;-0.45;-18674
2025-05-20 08:09:42.051;12.852;0.86825;-0.45;-18674
2025-05-20 08:09:42.051;12.852;0.86825;-0.45;-18674
2025-05-20 08:09:42.052;12.853;0.86825;-0.45;-18674
2025-05-20 08:09:42.053;12.854;0.86825;-0.45;-18618
2025-05-20 08:09:42.159;12.961;0.86825;-0.45;-18618
2025-05-20 08:09:42.160;12.962;0.86825;-0.45;-18618
2025-05-20 08:09:42.160;12.962;0.8695001;-0.43;-18618
2025-05-20 08:09:42.161;12.963;0.8695001;-0.43;-18651
2025-05-20 08:09:42.268;13.07;0.8695001;-0.43;-18651
2025-05-20 08:09:42.268;13.07;0.8695001;-0.43;-18651
2025-05-20 08:09:42.269;13.071;0.8695001;-0.43;-18651
2025-05-20 08:09:42.376;13.178;0.8695001;-0.43;-18587
2025-05-20 08:09:42.377;13.179;0.8695001;-0.43;-18587
2025-05-20 08:09:42.378;13.18;0.8695001;-0.43;-18587
2025-05-20 08:09:42.485;13.287;0.8695001;-0.43;-18587
2025-05-20 08:09:42.486;13.288;0.8695001;-0.43;-18555
2025-05-20 08:09:42.486;13.288;0.8695001;-0.43;-18555
2025-05-20 08:09:42.487;13.289;0.8695001;-0.43;-18555
2025-05-20 08:09:42.596;13.398;0.8695001;-0.43;-18581
2025-05-20 08:09:42.596;13.398;0.8695001;-0.43;-18581
2025-05-20 08:09:42.597;13.399;0.8695001;-0.43;-18581
2025-05-20 08:09:42.704;13.506;0.8695001;-0.43;-18581
2025-05-20 08:09:42.704;13.506;0.8695001;-0.43;-18581
2025-05-20 08:09:42.705;13.507;0.8695001;-0.43;-18581
2025-05-20 08:09:42.705;13.507;0.8695001;-0.43;-18581
2025-05-20 08:09:42.812;13.614;0.8681251;-0.45;-18581
2025-05-20 08:09:42.812;13.614;0.8681251;-0.45;-18641
2025-05-20 08:09:42.922;13.723;0.8681251;-0.45;-18641
2025-05-20 08:09:42.923;13.724;0.8681251;-0.45;-18641
2025-05-20 08:09:42.924;13.725;0.8681251;-0.45;-18641
2025-05-20 08:09:43.030;13.832;0.8681251;-0.45;-18641
2025-05-20 08:09:43.030;13.832;0.8681251;-0.45;-18641
2025-05-20 08:09:43.030;13.832;0.8681251;-0.45;-18641
2025-05-20 08:09:43.140;13.942;0.8681251;-0.45;-18641
2025-05-20 08:09:43.141;13.943;0.8681251;-0.45;-18641
2025-05-20 08:09:43.142;13.944;0.8681251;-0.45;-18641
2025-05-20 08:09:43.248;14.05;0.8681251;-0.45;-18641
2025-05-20 08:09:43.249;14.051;0.8681251;-0.45;-18641
2025-05-20 08:09:43.358;14.16;0.8681251;-0.45;-18641
2025-05-20 08:09:43.359;14.161;0.8681251;-0.45;-18641
2025-05-20 08:09:43.359;14.161;0.8681251;-0.45;-18641
