Timestamp,Relative_Time,PT-L01_2_1_V,PT-M02_2_2_V,PT-M01_2_3_V,reference_M_Pa
2025-06-30 08:35:09.086,1780.219,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.086,1780.219,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.087,1780.22,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.087,1780.22,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.087,1780.22,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.087,1780.22,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.087,1780.22,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.087,1780.22,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.087,1780.22,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.087,1780.22,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.087,1780.22,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.087,1780.22,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.134,1780.267,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.134,1780.267,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.134,1780.267,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.134,1780.267,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.134,1780.267,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.181,1780.314,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.181,1780.314,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.181,1780.314,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.182,1780.315,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.183,1780.316,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.183,1780.316,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.183,1780.316,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.228,1780.361,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.228,1780.361,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.228,1780.361,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.228,1780.361,0.8712501,2.334,0.8611251,0
2025-06-30 08:35:09.229,1780.362,0.8712501,2.333875,0.8611251,0
2025-06-30 08:35:09.274,1780.407,0.8712501,2.333875,0.8611251,0
2025-06-30 08:35:09.274,1780.407,0.8712501,2.333875,0.8611251,0
2025-06-30 08:35:09.274,1780.407,0.8712501,2.333875,0.8611251,0
2025-06-30 08:35:09.275,1780.408,0.8712501,2.333875,0.8611251,0
2025-06-30 08:35:09.275,1780.408,0.8712501,2.333875,0.8611251,0
2025-06-30 08:35:09.275,1780.408,0.8712501,2.333875,0.858625,0
2025-06-30 08:35:09.275,1780.408,0.8712501,2.333875,0.858625,0
2025-06-30 08:35:09.275,1780.408,0.8712501,2.333875,0.858625,0
2025-06-30 08:35:09.304,1780.438,0.8712501,2.333875,0.858625,0
2025-06-30 08:35:09.304,1780.438,0.8712501,2.333875,0.858625,0
2025-06-30 08:35:09.304,1780.438,0.8712501,2.333875,0.858625,0
2025-06-30 08:35:09.304,1780.438,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.305,1780.439,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.305,1780.439,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.305,1780.439,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.305,1780.439,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.305,1780.439,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.305,1780.439,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.366,1780.5,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.367,1780.5,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.367,1780.5,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.367,1780.5,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.368,1780.501,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.413,1780.546,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.413,1780.546,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.413,1780.546,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.445,1780.578,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.445,1780.578,0.8710001,2.333875,0.858625,0
2025-06-30 08:35:09.445,1780.578,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.445,1780.578,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.445,1780.578,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.445,1780.578,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.445,1780.578,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.446,1780.579,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.446,1780.579,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.446,1780.579,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.446,1780.579,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.446,1780.579,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.446,1780.579,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.492,1780.625,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.493,1780.626,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.493,1780.626,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.493,1780.626,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.493,1780.626,0.8710001,2.334,0.858625,0
2025-06-30 08:35:09.494,1780.627,0.8710001,2.334,0.8578751,0
2025-06-30 08:35:09.494,1780.627,0.8710001,2.334,0.8578751,0
2025-06-30 08:35:09.494,1780.627,0.8710001,2.334,0.8578751,0
2025-06-30 08:35:09.495,1780.628,0.8710001,2.334,0.8578751,0
2025-06-30 08:35:09.495,1780.628,0.8710001,2.334,0.8578751,0
2025-06-30 08:35:09.495,1780.628,0.8710001,2.334,0.8578751,0
2025-06-30 08:35:09.495,1780.628,0.8710001,2.334,0.8578751,0
2025-06-30 08:35:09.555,1780.688,0.87025,2.334,0.8578751,0
2025-06-30 08:35:09.555,1780.688,0.87025,2.334,0.8578751,0
2025-06-30 08:35:09.602,1780.735,0.87025,2.334,0.8578751,0
2025-06-30 08:35:09.603,1780.736,0.87025,2.334,0.8578751,0
2025-06-30 08:35:09.603,1780.736,0.87025,2.334,0.8578751,0
2025-06-30 08:35:09.603,1780.736,0.87025,2.334,0.8578751,0
2025-06-30 08:35:09.603,1780.736,0.87025,2.334,0.8578751,0
2025-06-30 08:35:09.604,1780.737,0.87025,2.334,0.8578751,0
2025-06-30 08:35:09.604,1780.737,0.87025,2.334,0.8578751,0
2025-06-30 08:35:09.604,1780.737,0.87025,2.334,0.8578751,0
2025-06-30 08:35:09.648,1780.781,0.87025,2.333875,0.8578751,0
2025-06-30 08:35:09.648,1780.781,0.87025,2.333875,0.8578751,0
2025-06-30 08:35:09.648,1780.781,0.87025,2.333875,0.8578751,0
2025-06-30 08:35:09.648,1780.781,0.87025,2.333875,0.8578751,0
2025-06-30 08:35:09.649,1780.782,0.87025,2.333875,0.8578751,0
2025-06-30 08:35:09.649,1780.782,0.87025,2.333875,0.8578751,0
2025-06-30 08:35:09.693,1780.827,0.87025,2.333875,0.8578751,0
2025-06-30 08:35:09.693,1780.827,0.87025,2.333875,0.8578751,0
2025-06-30 08:35:09.693,1780.827,0.87025,2.333875,0.8578751,0
2025-06-30 08:35:09.693,1780.827,0.87025,2.333875,0.8578751,0
2025-06-30 08:35:09.693,1780.827,0.87025,2.333875,0.8578751,0
2025-06-30 08:35:09.694,1780.827,0.87025,2.333875,0.859875,0
2025-06-30 08:35:09.694,1780.827,0.87025,2.333875,0.859875,0
2025-06-30 08:35:09.741,1780.874,0.87025,2.333875,0.859875,0
2025-06-30 08:35:09.741,1780.874,0.87025,2.333875,0.859875,0
2025-06-30 08:35:09.742,1780.875,0.87025,2.333875,0.859875,0
2025-06-30 08:35:09.742,1780.875,0.87025,2.333875,0.859875,0
2025-06-30 08:35:09.742,1780.875,0.87025,2.333875,0.859875,0
2025-06-30 08:35:09.742,1780.875,0.87025,2.333875,0.859875,0
2025-06-30 08:35:09.742,1780.875,0.87025,2.333875,0.859875,0
2025-06-30 08:35:09.743,1780.876,0.87075,2.333875,0.859875,0
2025-06-30 08:35:09.743,1780.876,0.87075,2.333875,0.859875,0
